1076.	-21.425814970118157
1076.5	-21.364763569176375
1077.	-21.30403732198439
1077.5	-21.24363280523976
1078.	-21.18354659564005
1078.5	-21.123775269882824
1079.	-21.064315404665642
1079.5	-21.005163576686073
1080.	-20.946316362641674
1080.5	-20.88777033923001
1081.	-20.829522083148643
1081.5	-20.771568171095137
1082.	-20.713905179767053
1082.5	-20.656532565048533
1083.	-20.59944287277593
1083.5	-20.54263152797218
1084.	-20.486093955660206
1084.5	-20.42981904396991
1085.	-20.373811369574472
1085.5	-20.318068972254032
1086.	-20.262589891788735
1086.5	-20.207378544838498
1087.	-20.152424043551786
1087.5	-20.097721876956836
1088.	-20.043267534081885
1088.5	-19.98904830433422
1089.	-19.935071156211404
1089.5	-19.881334858590055
1090.	-19.827838180346788
1090.5	-19.774585866319093
1091.	-19.72156831903836
1091.5	-19.668781916996867
1092.	-19.616223038686872
1092.5	-19.563886618722098
1093.	-19.511771057024777
1093.5	-19.459873309638606
1094.	-19.408190332607266
1094.5	-19.356714427660833
1095.	-19.305449066882055
1095.5	-19.254393068040063
1096.	-19.20354524890399
1096.5	-19.152911463430126
1097.	-19.102480678725588
1097.5	-19.052248898084645
1098.	-19.002212124801567
1098.5	-18.952359864908072
1099.	-18.902697217866002
1099.5	-18.853222785874653
1100.	-18.803935171133315
1100.5	-18.75483592831312
1101.	-18.705919526152783
1101.5	-18.657183385862858
1102.	-18.608624928653896
1102.5	-18.56023881278332
1103.	-18.512026327596075
1103.5	-18.463985999483967
1104.	-18.416116354838802
1104.5	-18.36841715550681
1105.	-18.32088519824361
1105.5	-18.273518515259248
1106.	-18.22631513876377
1106.5	-18.179274568271058
1107.	-18.13239278176578
1107.5	-18.085667224536433
1108.	-18.039095341871526
1108.5	-17.992672613288505
1109.	-17.946399236155358
1109.5	-17.90027344206901
1110.	-17.854293462626394
1110.5	-17.808455371969302
1111.	-17.762760422131848
1111.5	-17.717207707693014
1112.	-17.671796323231774
1112.5	-17.626530595482066
1113.	-17.581402294005937
1113.5	-17.53640842052038
1114.	-17.4915459767424
1114.5	-17.446804257346503
1115.	-17.402191053909174
1115.5	-17.357706450964407
1116.	-17.313350533046197
1116.5	-17.269128694847325
1117.	-17.225033586679483
1117.5	-17.181063169013147
1118.	-17.137215402318798
1118.5	-17.093488148059073
1119.	-17.049879505315428
1119.5	-17.006387474161475
1120.	-16.963010054670832
1120.5	-16.91974307022934
1121.	-16.8765875682735
1121.5	-16.83354241955203
1122.	-16.79060649481365
1122.5	-16.747778394308543
1123.	-16.7050573674834
1123.5	-16.662442393286366
1124.	-16.619932450665583
1124.5	-16.577526251445864
1125.	-16.53522314854802
1125.5	-16.493022227769533
1126.	-16.450922574907885
1126.5	-16.408927406106194
1127.	-16.36703002467804
1127.5	-16.32522786428265
1128.	-16.28351835857924
1128.5	-16.24189230847811
1129.	-16.200356433486984
1129.5	-16.158910820364653
1130.	-16.117555555869913
1130.5	-16.076294861788597
1131.	-16.035123035841643
1131.5	-15.994038510777028
1132.	-15.953039719342726
1132.5	-15.912125024079707
1133.	-15.871292956025762
1133.5	-15.830541976011672
1134.	-15.789870544868219
1134.5	-15.749274667967578
1135.	-15.708756243782577
1135.5	-15.668314715327442
1136.	-15.627949525616396
1136.5	-15.58765986648909
1137.	-15.547445532604149
1137.5	-15.507306067445622
1138.	-15.467241014497562
1138.5	-15.427254623971905
1139.	-15.387339849933662
1139.5	-15.347494353175733
1140.	-15.307715794491017
1140.5	-15.26799942481494
1141.	-15.228346278740856
1141.5	-15.188754981004653
1142.	-15.149224156342216
1142.5	-15.109747250451194
1143.	-15.070330138721001
1143.5	-15.030973517502819
1144.	-14.991678083147825
1144.5	-14.952451939021406
1145.	-14.91328541165485
1145.5	-14.874176234593657
1146.	-14.835122141383318
1146.5	-14.7962332334154
1147.	-14.757349929250903
1147.5	-14.718425015296896
1148.	-14.679411277960448
1148.5	-14.640286398526106
1149.	-14.60096831057247
1149.5	-14.561399842555616
1150.	-14.521523822931622
1150.5	-14.480885533121652
1151.	-14.43998436743066
1151.5	-14.398922173128685
1152.	-14.357800797485773
1152.5	-14.316979008799098
1153.	-14.276198964900713
1153.5	-14.235459744649802
1154.	-14.194760426905555
1154.5	-14.154102916945682
1155.	-14.113482336643434
1155.5	-14.072896634290588
1156.	-14.032343758178923
1156.5	-13.99181595074984
1157.	-13.951319148485641
1157.5	-13.91085358201825
1158.	-13.870419481979594
1158.5	-13.830022793856717
1159.	-13.789655747484378
1159.5	-13.749316287552457
1160.	-13.709002358750833
1160.5	-13.668705998219634
1161.	-13.628433421218388
1161.5	-13.588184935456876
1162.	-13.547960848644877
1162.5	-13.507767395435591
1163.	-13.467596585818008
1163.5	-13.427446356724536
1164.	-13.387314645087587
1164.5	-13.347193281963294
1165.	-13.307088752510856
1165.5	-13.26700143601319
1166.	-13.226931711753219
1166.5	-13.186886093637334
1167.	-13.146856372475593
1167.5	-13.10684047370153
1168.	-13.06683632274867
1168.5	-13.02683878256255
1169.	-12.986850066059898
1169.5	-12.946869323669443
1170.	-12.906895705819917
1170.5	-12.866925025110746
1171.	-12.826961104931685
1171.5	-12.787004430843188
1172.	-12.747055488405707
1172.5	-12.707121231941475
1173.	-12.667193090744448
1173.5	-12.627268962870364
1174.	-12.58734674637496
1174.5	-12.547421122386075
1175.	-12.507494492658507
1175.5	-12.467566042019154
1176.	-12.427634955294916
1176.5	-12.38770038960707
1177.	-12.347761568570384
1177.5	-12.307817688094001
1178.	-12.267867944087069
1178.5	-12.227907979048505
1179.	-12.187941963661775
