%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
( -0.56974026338589695E-02-0.34326033357794106E-02i)
(  0.10077616611960236E+01-0.10013700307163778E+00i)
(  0.10077616611366076E+01-0.10013700306523800E+00i)
(  0.56974026338589695E-02+0.34326033357794106E-02i)
( -0.25599108096889070E-10-0.23766323971171985E-09i)
( -0.10608485727581976E+00-0.99788946533635103E+00i)
(  0.10608485728221953E+00+0.99788946539576706E+00i)
(  0.00000000000000000E+00+0.00000000000000000E+00i)
(  0.10011741581639515E+01-0.10410343404485863E+00i)
( -0.56974025150273505E-02-0.34326033485789641E-02i)
( -0.56974025150273505E-02-0.34326033485789641E-02i)
( -0.10011741581639515E+01+0.10410343404485861E+00i)
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
(  0.00000000000000000E+00+0.00000000000000000E+00i)
(  0.18892705638522408E+00+0.19013295619746200E+01i)
(  0.18892705637314972E+00+0.19013295618625208E+01i)
(  0.00000000000000000E+00+0.00000000000000000E+00i)
(  0.00000000000000000E+00+0.00000000000000000E+00i)
(  0.18827038307602355E+01-0.20014878813408302E+00i)
( -0.18827038308723347E+01+0.20014878814615736E+00i)
(  0.00000000000000000E+00+0.00000000000000000E+00i)
(  0.19641046516658833E+00+0.18889010138994617E+01i)
(  0.00000000000000000E+00+0.00000000000000000E+00i)
(  0.00000000000000000E+00+0.00000000000000000E+00i)
( -0.19641046516658831E+00-0.18889010138994617E+01i)
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
